,relationType,argSrc,argTrg,Unnamed: 0.1,Unnamed: 0
242,neither,and surely you'll want to be speeding a lot with that beauty.,The prototype of Audi's new sports car has car lovers raving.,,
243,support,and surely you'll want to be speeding a lot with that beauty.,"The steering system may still need a bit of tweaking,",,
244,neither,and surely you'll want to be speeding a lot with that beauty.,"as the car jack-knifes at higher speeds,",,
245,neither,and surely you'll want to be speeding a lot with that beauty.,But aside from that the car caters to pretty much every wish.,,
246,support,But aside from that the car caters to pretty much every wish.,The prototype of Audi's new sports car has car lovers raving.,,
247,neither,But aside from that the car caters to pretty much every wish.,"The steering system may still need a bit of tweaking,",,
248,neither,But aside from that the car caters to pretty much every wish.,"as the car jack-knifes at higher speeds,",,
249,neither,But aside from that the car caters to pretty much every wish.,and surely you'll want to be speeding a lot with that beauty.,,
250,neither,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"In individual cases they may indeed act as a deterrent,",,
251,neither,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"in general, however, a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine.",,
252,attack,"In individual cases they may indeed act as a deterrent,",Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,,
